Z3700_Compressor_Screw_CapacityControl(ZI-Z37050/AI1.PV),Z3700_Compressor_Screw_CaseVibrationNDEMaleRotor(VI-V37050/AI1.PV),Z3700_Compressor_Screw_DischargePressure(PI-P37051/AI1.PV),Z3700_Compressor_Screw_DischargeTemperature(TI-T37051/AI1.PV),Z3700_Compressor_Screw_SuctionPressure(PI-P37050/AI1.PV),Z3700_Compressor_Screw_SuctionTemperature(TI-T37050/AI1.PV),Z3700_CoolingSystemCollection_CoolingFluidTemperatureCold(TI-T37130/AI1.PV),Z3700_CoolingSystemCollection_CoolingFluidTemperatureWarm(TI-T37131/AI1.PV),Z3700_CoolingSystemCollection_CoolingMassFlow(FI-F37130/AI1.PV),Z3700_CoolingSystemCollection_CoolingPressure(PI-P37130/AI1.PV),Z3700_HeatExchanger_InletTemperatureHot(TI-T37054/AI1.PV),Z3700_HeatExchanger_OutletTemperatureHot(TI-T37053/AI1.PV),Z3700_Motor_Current(II-37062/AI1.PV),Z3700_Motor_RadialBearingDETemperature1(TI-T37059/AI1.PV),Z3700_Motor_RadialBearingNDETemperature1(TI-T37060/AI1.PV),Z3700_Motor_StatorTemperatureA1(TI-T37056/AI1.PV),Z3700_Motor_StatorTemperatureB1(TI-T37057/AI1.PV),Z3700_Motor_StatorTemperatureC1(TI-T37058/AI1.PV),Z3700_OilSystem_OilPressure1(PI-P37054/AI1.PV),Z3700_OilSystem_OilPressure2(PI-P37053/AI1.PV),Z3700_OilSystem_OilTemperature(TI-T37055/AI1.PV),Z3700_Vessel_VesselLevel(LI-L37050-1/AI1.PV),OutsideTemperature
93,1,12.5,72.2,5.66,7.59999752,27.7914467,31.17704,1322.339,4.98526525,15.9000034,11.500001,18,59.3999977,44.3,76.6,75.1,72.5,16,11,52.1000023,51.39,28.83124924
100,1,13,72,5.24,6.5,28.2587566,31.2891,1323.96069,4.98526525,16.2999935,10.6,22,59.6000023,44.7,77.2000046,75.7000046,72.5,16.4,11.5,51.5,52.920002,29.14687347
100,0.900000036,13,69.1,5.45,7.499999,28.2587566,31.398777,1319.67908,4.989795,16.2999935,11.0000019,22,60.3,44.9,77.7000046,76.3,72.5,16.4,11.5,51.6999969,54.05,29.37499809
100,1.1,13,72.2,5.29,6.699997,28.2587566,31.4846077,1319.86194,4.989795,16.1000023,10.6,22,60.7,45.3,78,76.5,72.5,16.4,11.5,52,54.05,28.94375038
92,0.900000036,13.0999994,71.7,5.25,6.59999847,28.2587566,31.5680561,1315.60767,4.989795,16.1000023,10.6,19,61.5,45.5,78.4,77,72.5,16.1,11.5999994,51.5,52.26,29.140625
85,0.8,12.6,69.9,5.64,7.20000267,28.5687065,31.4583817,1320.08533,4.989795,15.9000034,11.1,17,62,45.5,78.7,77.3,72.5,16,11.1,51.9000053,51.33,28.43750191
94,0.900000036,12.8,72.7,5.46,6.5,28.5687065,31.5346756,1319.801,4.989795,16.1999931,10.5000019,19,62.1999969,45.4,78.7999954,77.3,72.5,16.4,11.5999994,52,52.6000023,27.85624886
100,1,13,71.1,5.42,6.800002,28.5687065,31.501297,1317.62463,4.989795,16.1000023,10.6999989,22,62.4,45.2,79,77.3,72.5,16.4,11.5999994,51.6999969,54.6,27.53750038
100,0.8,13.0999994,69.6,5.22999954,6.5,28.5687065,31.53706,1321.446,4.989795,16.2999935,10.3999977,22,62.4,44.6000023,78.7999954,77.3,72.5,16.5,11.5999994,51.6999969,52.1099968,27.36249924
90,0.900000036,12.8,72.5,5.25,6.699997,28.5687065,31.4321556,1311.15564,4.989795,16.0000019,10.5000019,17,62.3000031,44.4,78.7,77.2000046,72.5,16.2,11.2000008,51.9000053,51.94,27.29999924
