TI831061A,TI831061B,TI831060A,TI831060B,XSI831090,XSI831091,XSI831092,LSI831010,LSI831011,LSI831012,PZI831003,PZI831004,PZI831005,TI831001,FI821002,PI821019,TSI821017,TSI821018,TSI821019,PZI831006,PZI831007,PZI831008,TI831002,TI831063A,TI831063B,TI831062A,TI831062B,VSI831091A,VSI831091B,VSI831090A,VSI831090B,SZI831090,TI831064A,TI831064B,VSI831092B,VSI831093A,VSI831093B,TI831065A,TI831065B,PX8310_1_NM1/NUM1.PV,PSI831047,PSI831048,PSI831049,TSI831042,TSI831043,TSI831044,OutsideTemperature,VSI831092A
62.3,65.7000046,63.9,61.5,-0.030425012,-0.02837503,-0.012462497,260.19,255.797028,256.21,17.3484383,17.369688,17.3748436,304.832184,130.65152,49.5963554,418.040619,418.4875,418.512482,4.623,4.66635,4.6525,184.606476,82.9,83.8,87,76.7000046,16.70125,20.18625,26.6775017,19.7799988,6176.765,84.1,83,5.43,8.72625,8.89875,87.3,86.8,0,2.1008,2.084025,2.079025,47.0568733,46.8143768,47.0531273,34.27812576,5.91
62.3,65.7000046,63.9,61.5,-0.030025005,-0.027962506,-0.012462497,248.465,241.612717,241.37001,17.3484383,17.3798428,17.3798428,304.6875,130.626938,49.74682,418.040619,418.384369,418.309357,4.6295,4.6696,4.65905,184.490738,83,83.8,87.1,76.7000046,17.10875,20.4712486,26.7174988,19.74,6179.90332,84,82.9,5.3475,8.60375,8.735001,87.3,86.8,0,2.1008,2.08565,2.08065,46.955,46.77375,46.9918747,32.48125076,5.8275
62.5,66,64.1,61.7,-0.030837476,-0.02837503,-0.013687491,235.435013,227.758057,227.50499,17.34328,17.369688,17.3748436,304.6875,130.326141,49.67159,418.040619,418.4875,418.512482,4.6295,4.6696,4.6639,184.606476,83.1,83.9,87.2000046,76.9,16.86375,20.633749,26.798748,20.025,6178.3584,84.1,83.1,5.43,8.5625,8.98,87.4,86.9,0,2.104075,2.08565,2.0839,47.1787529,46.998127,47.1756248,32.02187347,5.91
62.4,65.9,64,61.5,-0.031237483,-0.02837503,-0.012875021,222.245,211.780716,213.15,17.3484383,17.369688,17.3748436,305.121521,130.8344,49.5587425,418.040619,418.4875,418.309357,4.64255,4.68265,4.6623,185.185181,82.9,83.8,87,76.8,16.741251,20.145,26.7174988,19.94375,6179.90332,84,82.9,5.3475,8.685,9.0625,87.3,86.8,0,2.1008,2.08565,2.082275,46.9756241,46.835,46.9718742,31.83749962,5.7875
62.2,65.7000046,63.8,61.4,-0.031237483,-0.0291875,-0.013687491,208.245,197.5964,198.305,17.3331261,17.369688,17.364687,305.121521,131.241852,49.57755,418.243744,418.4875,418.512482,4.6409,4.67615,4.6639,185.069443,82.7000046,83.7000046,86.8,76.6,16.741251,20.4712486,27.0025024,20.025,6179.90332,83.9,82.8,5.51125,8.5625,8.89875,87.2000046,86.8,0,2.104875,2.086475,2.082275,46.8737526,46.65125,46.89,31.44375038,5.99125
62.1000023,65.5,63.7,61.4,-0.030837476,-0.02837503,-0.012462497,194.89,184.880478,184.61,17.3840637,17.4103127,17.41047,305.121521,131.062759,49.6339722,418.243744,418.6906,418.715637,4.62625,4.66475,4.65415,184.837967,82.8,83.8,86.9,76.6,16.66,20.105,26.6775017,19.9849987,6173.627,83.8,82.6,5.3475,8.5625,8.65375,87.2000046,86.8,0,2.1065,2.088925,2.0839,46.7925,46.6306229,46.82875,30.89687538,5.705
62.1000023,65.4,63.8,61.4,-0.028400004,-0.026737511,-0.011237502,240.650009,233.461731,234.515,17.3840637,17.4053116,17.41047,304.1088,131.33847,49.67159,418.243744,418.790649,418.715637,4.6295,4.67125,4.64925,185.069443,82.6,83.7000046,86.7000046,76.5,16.9037514,20.18625,27.0025024,20.27,6172.082,83.9,82.7000046,5.43,8.685,8.65375,87.3,86.8,0,2.104075,2.0775,2.079025,46.8331261,46.67125,46.8493767,25.43750191,5.8275
61.8,65,64.1,61.4,-0.025137484,-0.02266252,-0.006749988,357.895,362.419067,363.7,17.3382816,17.359375,17.3595314,304.6875,130.892075,49.9537048,417.8375,418.28125,418.309357,4.623,4.6631,4.6509,185.069443,82.8,83.8,87.2000046,76.4,16.8225,20.105,26.6775017,19.9849987,6181.49658,83.8,82.6,5.5925,8.8075,8.5725,87.2000046,86.7000046,0,2.109775,2.088925,2.084725,46.7106247,46.52875,46.70625,25.33749962,5.91
61.7,65,63.7,61.1000023,-0.027575016,-0.02511251,-0.009612501,440.615,453.882874,453.569977,17.3739071,17.400156,17.405468,302.228,131.421936,49.65278,418.040619,418.078125,418.309357,4.623,4.6631,4.6574,184.027771,82.4,83.6,86.5,76.3,16.45625,20.51125,26.88,20.27,6179.90332,83.7000046,82.5,5.5925,8.8075,8.695,87.1,86.7000046,0,2.1122,2.0922,2.087175,46.4462471,46.2431259,46.4618759,26.22812462,5.8275
61.5,64.6,64.1,61.3,-0.023100019,-0.020212472,-0.004299998,428.074982,439.209137,440.194977,17.3484383,17.3798428,17.3798428,305.8449,130.469986,49.38947,418.956238,419.403137,419.328125,4.6572,4.69735,4.6851,185.648148,82.5,83.9,86.7000046,76.3,16.70125,19.86125,27.2462482,20.4325,6175.22,83.6,82.4,5.51125,8.645,8.5725,87,86.6,0,2.10895,2.08975,2.087175,46.4056244,46.2431259,46.3999977,26.03749847,5.7875
